record_id,query_id,query_text,method,orig_rank,display_order,pano_id,image_path,image_file_name,source_score,source_prompt,best_yaw,lng,lat,num_views,num_views_above_thresh
Q01_CLIP_0002_0Y6D,Q01,"a safe, quiet place with lots of greenery where people can read outdoors",CLIP,2,1,-8hTRznWQS2FET3PIiz99A,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\-8hTRznWQS2FET3PIiz99A_090.jpg,-8hTRznWQS2FET3PIiz99A_090.jpg,0.24926758,street benches,90,9.18271,45.45435139,4,2
Q01_CLIP_0007_8MDD,Q01,"a safe, quiet place with lots of greenery where people can read outdoors",CLIP,7,2,QzMd74_7Yeff6YgDNyi2YA,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\QzMd74_7Yeff6YgDNyi2YA_270.jpg,QzMd74_7Yeff6YgDNyi2YA_270.jpg,0.24169922,public bench,270,9.220532204,45.44188488,4,1
Q01_CLIP_0065_CHJ7,Q01,"a safe, quiet place with lots of greenery where people can read outdoors",CLIP,65,3,c7ylgg0sraR-29HH0JabQA,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\c7ylgg0sraR-29HH0JabQA_090.jpg,c7ylgg0sraR-29HH0JabQA_090.jpg,0.22399902,a bench,90,9.180427882,45.51095914,4,1
Q01_CLIP_0266_6CCV,Q01,"a safe, quiet place with lots of greenery where people can read outdoors",CLIP,266,4,5ugBKnG36dYs8894vnKobA,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\5ugBKnG36dYs8894vnKobA_270.jpg,5ugBKnG36dYs8894vnKobA_270.jpg,0.21496582,bench near the curb,270,9.200085,45.5052569,4,1
Q01_CLIP_0235_T63J,Q01,"a safe, quiet place with lots of greenery where people can read outdoors",CLIP,235,5,X1ykvjJ8o11bS77u8HUe6w,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\X1ykvjJ8o11bS77u8HUe6w_090.jpg,X1ykvjJ8o11bS77u8HUe6w_090.jpg,0.21569824,bench near the curb,90,9.119256774,45.48132444,4,1
Q01_CLIP_0220_I6FQ,Q01,"a safe, quiet place with lots of greenery where people can read outdoors",CLIP,220,6,tVEDDRHBi5CNp64WpIBXBA,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\tVEDDRHBi5CNp64WpIBXBA_090.jpg,tVEDDRHBi5CNp64WpIBXBA_090.jpg,0.21606445,public bench,90,9.1433068,45.4938149,4,1
Q01_CLIP_0099_KTAK,Q01,"a safe, quiet place with lots of greenery where people can read outdoors",CLIP,99,7,HT7OQPO7KcKBNPxWB82y4g,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\HT7OQPO7KcKBNPxWB82y4g_270.jpg,HT7OQPO7KcKBNPxWB82y4g_270.jpg,0.22180176,bench near the curb,270,9.104629477,45.47006472,4,1
Q01_CLIP_0029_SG65,Q01,"a safe, quiet place with lots of greenery where people can read outdoors",CLIP,29,8,blXDCgzLGyNiV_ma4ELu_g,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\blXDCgzLGyNiV_ma4ELu_g_270.jpg,blXDCgzLGyNiV_ma4ELu_g_270.jpg,0.22875977,street benches,270,9.216281711,45.44393101,4,1
Q01_CLIP_0095_XLL4,Q01,"a safe, quiet place with lots of greenery where people can read outdoors",CLIP,95,9,xd5-D3J6UbYKj1MJjsLOeg,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\xd5-D3J6UbYKj1MJjsLOeg_090.jpg,xd5-D3J6UbYKj1MJjsLOeg_090.jpg,0.2220459,benches along the street,90,9.2236699,45.4795251,4,1
Q01_CLIP_0145_TRP0,Q01,"a safe, quiet place with lots of greenery where people can read outdoors",CLIP,145,10,bsVucKle99ah6lmhpoqZ7g,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\bsVucKle99ah6lmhpoqZ7g_090.jpg,bsVucKle99ah6lmhpoqZ7g_090.jpg,0.21862793,benches on the sidewalk,90,9.106476834,45.4993917,4,1
