rank,pano_id,best_yaw,lng,lat,best_view_path,best_view_score,prompt_best,num_views,num_views_above_thresh
1,L93lz-apm9d7ThB9ldi6YQ,90,9.257613654,45.45434569,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\L93lz-apm9d7ThB9ldi6YQ_090.jpg,0.25830078,bench near the curb,4,1
2,-8hTRznWQS2FET3PIiz99A,90,9.18271,45.45435139,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\-8hTRznWQS2FET3PIiz99A_090.jpg,0.24926758,street benches,4,2
3,jrce2IWihlk-T4v73xSvGQ,270,9.1267941,45.4749219,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\jrce2IWihlk-T4v73xSvGQ_270.jpg,0.24511719,public bench,4,1
4,aD2j2wCCnw4tnnM_y4aOYQ,270,9.222209123,45.44105568,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\aD2j2wCCnw4tnnM_y4aOYQ_270.jpg,0.24450684,public bench,4,1
5,elqG5pwU4uxHCpETZgrbiQ,270,9.151721328,45.45156953,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\elqG5pwU4uxHCpETZgrbiQ_270.jpg,0.24255371,public bench,4,1
6,6jMgDoUo0OX-_1WJ0481hw,90,9.1758567,45.5206498,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\6jMgDoUo0OX-_1WJ0481hw_090.jpg,0.24230957,bench near the curb,4,1
7,QzMd74_7Yeff6YgDNyi2YA,270,9.220532204,45.44188488,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\QzMd74_7Yeff6YgDNyi2YA_270.jpg,0.24169922,public bench,4,1
8,LbFplj6y9g16mjiCOes4QQ,90,9.126318469,45.51878703,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\LbFplj6y9g16mjiCOes4QQ_090.jpg,0.24060059,bench near the curb,4,1
9,Lr4NMNZ0MQaoP1Yzx4D3Tg,90,9.180032792,45.51218728,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\Lr4NMNZ0MQaoP1Yzx4D3Tg_090.jpg,0.24047852,benches,4,1
10,7CoyIjngxIKzO4rjxkQ4cQ,90,9.163627768,45.4426333,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\7CoyIjngxIKzO4rjxkQ4cQ_090.jpg,0.23901367,street furniture benches,4,1
11,9q9OaIn8H_PyyjlN6bFnDw,90,9.209304785,45.52189128,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\9q9OaIn8H_PyyjlN6bFnDw_090.jpg,0.23864746,bench near the curb,4,1
12,CPm0N_iyCtHDyuj8U9Im9Q,90,9.106645458,45.51150358,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\CPm0N_iyCtHDyuj8U9Im9Q_090.jpg,0.23864746,bench near the curb,4,1
13,LFhvjdVPGLVB_zwlNz2deQ,270,9.1302333,45.5024458,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\LFhvjdVPGLVB_zwlNz2deQ_270.jpg,0.23852539,bench near the curb,4,1
14,96noJkCxyDlXf_N-iWKIkQ,90,9.125573216,45.51843559,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\96noJkCxyDlXf_N-iWKIkQ_090.jpg,0.23779297,public bench,4,1
15,wOJIst6wLGUS5cGeyEJMLw,90,9.1206041,45.5121295,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\wOJIst6wLGUS5cGeyEJMLw_090.jpg,0.23632812,bench near the curb,4,1
16,o53zYF0dsqn6qUtw6co6Gw,90,9.104430883,45.49215309,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\o53zYF0dsqn6qUtw6co6Gw_090.jpg,0.23535156,public bench,4,1
17,dDl8SoO02Yg0YE8mstmGuQ,90,9.180222624,45.511572,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\dDl8SoO02Yg0YE8mstmGuQ_090.jpg,0.23522949,benches,4,1
18,JR0OsazBSI3nYCOTGxrLjA,90,9.178027985,45.51864461,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\JR0OsazBSI3nYCOTGxrLjA_090.jpg,0.23413086,benches,4,1
19,Z-f5sHd-1K1JPAwlAKwX7Q,270,9.129948147,45.49543508,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\Z-f5sHd-1K1JPAwlAKwX7Q_270.jpg,0.23352051,bench near the curb,4,1
20,C83MK_HP00LQ8e4O8xse1Q,270,9.122564978,45.50340238,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\C83MK_HP00LQ8e4O8xse1Q_270.jpg,0.2331543,bench near the curb,4,1
21,y-nyd-0_0QGfSPtW_DyYAg,90,9.1027947,45.500564,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\y-nyd-0_0QGfSPtW_DyYAg_090.jpg,0.23278809,bench near the curb,4,1
22,W0EJtIqNMaie2CyMzynybg,270,9.1700062,45.5172617,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\W0EJtIqNMaie2CyMzynybg_270.jpg,0.23266602,street furniture benches,4,1
23,32fHOKhaOoqMnA37ubsHdQ,90,9.250915516,45.48438833,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\32fHOKhaOoqMnA37ubsHdQ_090.jpg,0.23242188,street furniture benches,4,1
24,49FBWxgTXO7XOvIBUrRJjA,90,9.210807803,45.52453095,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\49FBWxgTXO7XOvIBUrRJjA_090.jpg,0.23242188,bench near the curb,4,1
