pano_id,best_yaw,best_view_path,top_20_M1,top_20_M2,top_20_M3,top_20_M4,top_20_M5
pE0KQxK1UuNMRnhkLmodTg,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\pE0KQxK1UuNMRnhkLmodTg_270.jpg,1,1,1,1,1
5q1_qHGiWP0glAki_2oTRA,90,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\5q1_qHGiWP0glAki_2oTRA_090.jpg,1,1,0,1,1
QzMd74_7Yeff6YgDNyi2YA,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\QzMd74_7Yeff6YgDNyi2YA_270.jpg,1,0,1,1,1
L93lz-apm9d7ThB9ldi6YQ,90,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\L93lz-apm9d7ThB9ldi6YQ_090.jpg,1,0,1,0,1
6jMgDoUo0OX-_1WJ0481hw,90,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\6jMgDoUo0OX-_1WJ0481hw_090.jpg,1,0,0,1,1
-8hTRznWQS2FET3PIiz99A,90,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\-8hTRznWQS2FET3PIiz99A_090.jpg,0,0,1,1,1
8HB7cpW8qt_6kvvD9b2D2g,90,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\8HB7cpW8qt_6kvvD9b2D2g_090.jpg,0,0,1,1,1
GU6MEgrUll5p6mOKX7O1KQ,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\GU6MEgrUll5p6mOKX7O1KQ_270.jpg,1,1,0,0,0
PO-5KYBVQbsZ4dPjA2vd6g,90,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\PO-5KYBVQbsZ4dPjA2vd6g_090.jpg,1,1,0,0,0
x0yyV64K815vf2pZFKnAPA,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\x0yyV64K815vf2pZFKnAPA_270.jpg,1,1,0,0,0
CQP3uMAlobXtwK6dlJcmbg,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\CQP3uMAlobXtwK6dlJcmbg_270.jpg,1,0,1,0,0
ZUVWpjAW_RCAuQFBgmYQDA,90,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\ZUVWpjAW_RCAuQFBgmYQDA_090.jpg,1,0,1,0,0
cpqhv9Rjb5B7XVuQMY7reQ,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\cpqhv9Rjb5B7XVuQMY7reQ_270.jpg,1,0,1,0,0
blXDCgzLGyNiV_ma4ELu_g,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\blXDCgzLGyNiV_ma4ELu_g_270.jpg,1,0,0,0,1
