record_id,query_id,query_text,display_order,pano_id,best_yaw,image_path,image_file_name,web_path,top_20_M1,top_20_M2,top_20_M3,top_20_M4,top_20_M5,best_view_path
Q01_POOL_0001_XAJI,Q01,"a safe, quiet place with lots of greenery where people can read outdoors",52,pE0KQxK1UuNMRnhkLmodTg,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\pE0KQxK1UuNMRnhkLmodTg_270.jpg,pE0KQxK1UuNMRnhkLmodTg_270.jpg,images/pE0KQxK1UuNMRnhkLmodTg_270.jpg,1,1,1,1,1,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\pE0KQxK1UuNMRnhkLmodTg_270.jpg
Q01_POOL_0002_0Y6D,Q01,"a safe, quiet place with lots of greenery where people can read outdoors",16,5q1_qHGiWP0glAki_2oTRA,90,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\5q1_qHGiWP0glAki_2oTRA_090.jpg,5q1_qHGiWP0glAki_2oTRA_090.jpg,images/5q1_qHGiWP0glAki_2oTRA_090.jpg,1,1,0,1,1,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\5q1_qHGiWP0glAki_2oTRA_090.jpg
Q01_POOL_0003_PBHS,Q01,"a safe, quiet place with lots of greenery where people can read outdoors",37,QzMd74_7Yeff6YgDNyi2YA,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\QzMd74_7Yeff6YgDNyi2YA_270.jpg,QzMd74_7Yeff6YgDNyi2YA_270.jpg,images/QzMd74_7Yeff6YgDNyi2YA_270.jpg,1,0,1,1,1,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\QzMd74_7Yeff6YgDNyi2YA_270.jpg
Q01_POOL_0004_AHXT,Q01,"a safe, quiet place with lots of greenery where people can read outdoors",68,L93lz-apm9d7ThB9ldi6YQ,90,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\L93lz-apm9d7ThB9ldi6YQ_090.jpg,L93lz-apm9d7ThB9ldi6YQ_090.jpg,images/L93lz-apm9d7ThB9ldi6YQ_090.jpg,1,0,1,0,1,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\L93lz-apm9d7ThB9ldi6YQ_090.jpg
Q01_POOL_0005_HV3A,Q01,"a safe, quiet place with lots of greenery where people can read outdoors",69,6jMgDoUo0OX-_1WJ0481hw,90,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\6jMgDoUo0OX-_1WJ0481hw_090.jpg,6jMgDoUo0OX-_1WJ0481hw_090.jpg,images/6jMgDoUo0OX-_1WJ0481hw_090.jpg,1,0,0,1,1,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\6jMgDoUo0OX-_1WJ0481hw_090.jpg
Q01_POOL_0006_3ZMF,Q01,"a safe, quiet place with lots of greenery where people can read outdoors",21,-8hTRznWQS2FET3PIiz99A,90,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\-8hTRznWQS2FET3PIiz99A_090.jpg,-8hTRznWQS2FET3PIiz99A_090.jpg,images/-8hTRznWQS2FET3PIiz99A_090.jpg,0,0,1,1,1,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\-8hTRznWQS2FET3PIiz99A_090.jpg
Q01_POOL_0007_8MDD,Q01,"a safe, quiet place with lots of greenery where people can read outdoors",51,8HB7cpW8qt_6kvvD9b2D2g,90,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\8HB7cpW8qt_6kvvD9b2D2g_090.jpg,8HB7cpW8qt_6kvvD9b2D2g_090.jpg,images/8HB7cpW8qt_6kvvD9b2D2g_090.jpg,0,0,1,1,1,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\8HB7cpW8qt_6kvvD9b2D2g_090.jpg
Q01_POOL_0008_4V30,Q01,"a safe, quiet place with lots of greenery where people can read outdoors",66,GU6MEgrUll5p6mOKX7O1KQ,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\GU6MEgrUll5p6mOKX7O1KQ_270.jpg,GU6MEgrUll5p6mOKX7O1KQ_270.jpg,images/GU6MEgrUll5p6mOKX7O1KQ_270.jpg,1,1,0,0,0,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\GU6MEgrUll5p6mOKX7O1KQ_270.jpg
Q01_POOL_0009_T9NT,Q01,"a safe, quiet place with lots of greenery where people can read outdoors",32,PO-5KYBVQbsZ4dPjA2vd6g,90,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\PO-5KYBVQbsZ4dPjA2vd6g_090.jpg,PO-5KYBVQbsZ4dPjA2vd6g_090.jpg,images/PO-5KYBVQbsZ4dPjA2vd6g_090.jpg,1,1,0,0,0,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\PO-5KYBVQbsZ4dPjA2vd6g_090.jpg
Q01_POOL_0010_3W5U,Q01,"a safe, quiet place with lots of greenery where people can read outdoors",70,x0yyV64K815vf2pZFKnAPA,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\x0yyV64K815vf2pZFKnAPA_270.jpg,x0yyV64K815vf2pZFKnAPA_270.jpg,images/x0yyV64K815vf2pZFKnAPA_270.jpg,1,1,0,0,0,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\x0yyV64K815vf2pZFKnAPA_270.jpg
